resource_id,service,monthly_cost,currency,owner,team,env,cost_center
r-98,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-99,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-100,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-101,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-102,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-103,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-104,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-105,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-106,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-107,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-108,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-109,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-110,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-111,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-112,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-113,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-114,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-115,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-116,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-117,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-118,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-119,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-120,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-121,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-122,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-123,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-124,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-125,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-126,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-127,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-128,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-129,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-130,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-131,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-132,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-133,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-134,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-135,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-136,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-137,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-138,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-139,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-140,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-141,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-142,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-143,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-144,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-145,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-146,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-147,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-148,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-149,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-150,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-151,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-152,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-153,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-154,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-155,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-156,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-157,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-158,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-159,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-160,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-161,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-162,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-163,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-164,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-165,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-166,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-167,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-168,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-169,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-170,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-171,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-172,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-173,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-174,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-175,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-176,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-177,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-178,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-179,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-180,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-181,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-182,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-183,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-184,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-185,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-186,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-187,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-188,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-189,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-190,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-191,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-192,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-193,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-194,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-195,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-196,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-197,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-198,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-199,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-200,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-201,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-202,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-203,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-204,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-205,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-206,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-207,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-208,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-209,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-210,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-211,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-212,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-213,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-214,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-215,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-216,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-217,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-218,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-219,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-220,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-221,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-222,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-223,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-224,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-225,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-226,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-227,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-228,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-229,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-230,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-231,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-232,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-233,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-234,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-235,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-236,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-237,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-238,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-239,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-240,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-241,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-242,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-243,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-244,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-245,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-246,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-247,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-248,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-249,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-250,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-251,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-252,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-253,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-254,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-255,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-256,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-257,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-258,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-259,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-260,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-261,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-262,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-263,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-264,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-265,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-266,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-267,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-268,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-269,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-270,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-271,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-272,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-273,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-274,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-275,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-276,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-277,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-278,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-279,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-280,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-281,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-282,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-283,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-284,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-285,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-286,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-287,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-288,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-289,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-290,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-291,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-292,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-293,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-294,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-295,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-296,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-297,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-298,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-299,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-300,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-301,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-302,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-303,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-304,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-305,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-306,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-307,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-308,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-309,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-310,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-311,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-312,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-313,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-314,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-315,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-316,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-317,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-318,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-319,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-320,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-321,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-322,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-323,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-324,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-325,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-326,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-327,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-328,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-329,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-330,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-331,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-332,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-333,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-334,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-335,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-336,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-337,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-338,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-339,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-340,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-341,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-342,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-343,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-344,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-345,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-346,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-347,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-348,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-349,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-350,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-351,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-352,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-353,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-354,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-355,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-356,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-357,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-358,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-359,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-360,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-361,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-362,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-363,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-364,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-365,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-366,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-367,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-368,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-369,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-370,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-371,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-372,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-373,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-374,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-375,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-376,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-377,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-378,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-379,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-380,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-381,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-382,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-383,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-384,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-385,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-386,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-387,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-388,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-389,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-390,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-391,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-392,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-393,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-394,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-395,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-396,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-397,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-398,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-399,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-400,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-401,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-402,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-403,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-404,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-405,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-406,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-407,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-408,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-409,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-410,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-411,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-412,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-413,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-414,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-415,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-416,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-417,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-418,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-419,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-420,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-421,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-422,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-423,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-424,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-425,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-426,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-427,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-428,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-429,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-430,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-431,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-432,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-433,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-434,EC2,10.00,USD,anna.k,payments,prod,CC-1042
r-435,EC2,10.00,USD,anna.k,payments,prod,CC-1042
